股票名称,股票代码,今开,成交量,最高,涨停,内盘,成交额,委比,流通市值,市盈率MRQ,每股收益,总股本,昨收,换手率,最低,跌停,外盘,振幅,量比,总市值,市净率,每股净资产,流通股本
券商分级,sh502053,0.98,1729手,1,,,17.23万,,,,,,0.99,,0.98,,,,,,,,
券商A,sh502054,1.02,2.13万手,1.03,,,218.33万,,,,,,1.03,,1.02,,,,,,,,
券商B,sh502055,0.94,8.01万手,0.99,,,762.30万,,,,,,0.95,,0.94,,,,,,,,
医疗分级,sh502056,1.07,871手,1.07,,,9.30万,,,,,,1.06,,1.07,,,,,,,,
医疗A,sh502057,1.03,802手,1.03,,,8.29万,,,,,,1.04,,1.03,,,,,,,,
医疗B,sh502058,1.1,885手,1.11,,,9.77万,,,,,,1.11,,1.1,,,,,,,,
嘉实元和,sh505888,1.15,17.44万手,1.16,,,2021.02万,,,,,,1.15,,1.15,,,,,,,,
治理ETF,sh510010,0.99,795手,1,,,7.93万,,,,,,0.99,,0.99,,,,,,,,
超大ETF,sh510020,2.38,1831手,2.49,,,44.68万,,,,,,2.41,,2.38,,,,,,,,
价值ETF,sh510030,4.07,72手,4.17,,,2.95万,,,,,,4.17,,4.07,,,,,,,,
50ETF,sh510050,2.35,194.70万手,2.37,,,4.58亿,,,,,,2.34,,2.34,,,,,,,,
央企ETF,sh510060,1.63,6196手,1.66,,,102.02万,,,,,,1.63,,1.63,,,,,,,,
央企申赎,sh510061,--,--,--,,,--,,,,,,1.51,,--,,,,,,,,
民企ETF,sh510070,1.65,241手,1.66,,,4.00万,,,,,,1.65,,1.65,,,,,,,,
责任ETF,sh510090,--,--,--,,,--,,,,,,1.34,,--,,,,,,,,
非周ETF,sh510120,2.72,160手,2.78,,,4.44万,,,,,,2.66,,2.71,,,,,,,,
中盘ETF,sh510130,3.71,4196手,3.73,,,156.29万,,,,,,3.69,,3.71,,,,,,,,
招商上证消费80,sh510150,4.03,452手,4.07,,,18.31万,,,,,,4.03,,4.03,,,,,,,,
小康ETF,sh510160,0.56,2.14万手,0.57,,,121.38万,,,,,,0.56,,0.56,,,,,,,,
商品ETF,sh510170,1.79,195手,1.79,,,3.46万,,,,,,1.77,,1.77,,,,,,,,
